post_title,sku,images,product_page_url
Garnier Color Natural 4.6 Burgundy,100088,https://ucpksa.com/wp-content/uploads/2025/09/203011.jpg ! alt : Garnier Color Nat 4.6 Burgundy - 47451 ! title : 203011.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-4-6-burgundy/
Garnier Color Natural 7n Dark Blonde,100089,https://ucpksa.com/wp-content/uploads/2025/09/222863.jpg ! alt : Garnier Color Nat 7n Dark Blonde - 47453 ! title : 222863.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-7n-dark-blonde/
Garnier Color Natural 5.3 Light Gold Brown,100090,https://ucpksa.com/wp-content/uploads/2025/09/203013.jpg ! alt : Garnier Color Nat 5.3 Light Gold Brown - 47455 ! title : 203013.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-5-3-light-gold-brown/
Garnier Color Natural 3.6 Deep Red Brown,100091,https://ucpksa.com/wp-content/uploads/2025/09/203007.jpg ! alt : Garnier Color Nat 3.6 Deep Red Brown - 47457 ! title : 203007.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-3-6-deep-red-brown/
Garnier Color Natural 2 Luminous Black,100092,https://ucpksa.com/wp-content/uploads/2025/09/203029_3.jpg ! alt : Garnier Color Nat 2 Luminous Black - 47459 ! title : 203029_3.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-2-luminous-black/
Garnier Face Mask Charcoal 28 g,100094,https://ucpksa.com/wp-content/uploads/2025/09/229776_1.jpg ! alt : Garnier F/mask Charcoal 28 g - 47463 ! title : 229776_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-f-mask-charcoal-28g/
Garnier Skin Naturals Micellar Water 100 mL,100095,https://ucpksa.com/wp-content/uploads/2025/09/228792_1.jpg ! alt : Garnier Sn Micellar Water 100 mL - 47465 ! title : 228792_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-sn-micellar-water-100ml/
Glysolid Cream 400 mL,100096,https://ucpksa.com/wp-content/uploads/2025/10/10219.webp ! alt : Glysolid Cream 400 mL - 59031 ! title : 10219.webp ! desc :  ! caption :,https://ucpksa.com/shop/glysolid-cream-400-ml/
Glysolid Cream 30 mL Tube,100097,https://ucpksa.com/wp-content/uploads/2025/09/203462_2.jpg ! alt : Glysolid Cream 30 mL Tube - 47471 ! title : 203462_2.jpg ! desc :  ! caption :,https://ucpksa.com/shop/glysolid-cream-30ml-tube/
Herbal Essences Hair Mask Alo& Avo 250 mL,100098,https://ucpksa.com/wp-content/uploads/2025/09/238448_1.jpg ! alt : Herbal Essences H/mask Alo&amp; Avo 250 mL - 47473 ! title : 238448_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/herbal-essence-h-mask-alo-avo-250-ml/
